timestamp,MMSI,Latitude,Longitude,rn,lat_bucket,lon_bucket,time_bucket
2021-12-12T18:38:42.000+02:00,265771450,55.587197,12.924323,10108,5558,1292,27322118
2021-12-12T18:42:44.000+02:00,265771450,55.587197,12.924323,10109,5558,1292,27322122
2021-12-12T18:44:43.000+02:00,265771450,55.58722,12.924328,10110,5558,1292,27322124
2021-12-12T18:48:34.000+02:00,265771450,55.58722,12.924328,10111,5558,1292,27322128
2021-12-12T18:48:47.000+02:00,265771450,55.58722,12.924328,10112,5558,1292,27322128
2021-12-12T18:50:45.000+02:00,265771450,55.587258,12.924313,10113,5558,1292,27322130
2021-12-12T18:53:43.000+02:00,265771450,55.587235,12.924322,10114,5558,1292,27322133
2021-12-12T18:54:35.000+02:00,265771450,55.587235,12.924322,10115,5558,1292,27322134
2021-12-12T18:54:46.000+02:00,265771450,55.587235,12.924322,10116,5558,1292,27322134
2021-12-12T18:56:43.000+02:00,265771450,55.587255,12.924322,10117,5558,1292,27322136
