timestamp,MMSI,Latitude,Longitude,rn,lat_bucket,lon_bucket,time_bucket
2021-12-12T18:38:08.000+02:00,265764760,55.58722,12.924328,8606,5558,1292,27322118
2021-12-12T18:39:10.000+02:00,265764760,55.58722,12.924328,8607,5558,1292,27322119
2021-12-12T18:42:09.000+02:00,265764760,55.58722,12.924328,8608,5558,1292,27322122
2021-12-12T18:44:11.000+02:00,265764760,55.58722,12.924328,8609,5558,1292,27322124
2021-12-12T18:44:11.000+02:00,265764760,55.58722,12.924328,8610,5558,1292,27322124
2021-12-12T18:45:07.000+02:00,265764760,55.58722,12.924328,8611,5558,1292,27322125
2021-12-12T18:48:05.000+02:00,265764760,55.58722,12.924328,8612,5558,1292,27322128
2021-12-12T18:50:09.000+02:00,265764760,55.58722,12.924328,8613,5558,1292,27322130
2021-12-12T18:50:13.000+02:00,265764760,55.58722,12.924328,8614,5558,1292,27322130
2021-12-12T18:51:07.000+02:00,265764760,55.58722,12.924328,8615,5558,1292,27322131
2021-12-12T18:54:09.000+02:00,265764760,55.58722,12.924328,8616,5558,1292,27322134
2021-12-12T18:56:13.000+02:00,265764760,55.58722,12.924328,8617,5558,1292,27322136
2021-12-12T18:56:15.000+02:00,265764760,55.58722,12.924328,8618,5558,1292,27322136
2021-12-12T18:57:12.000+02:00,265764760,55.58722,12.924328,8619,5558,1292,27322137
